Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;40:18:B1:97:60:56;;1;No;OPN,None;No;-1.0;0;0;0;3;0;0;3;;;Tue Mar 19 18:40:09 2019;Tue Mar 19 18:40:26 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;40:18:B1:97:60:58;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Tue Mar 19 18:39:54 2019;Tue Mar 19 18:39:55 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;SFR-8098;40:65:A3:14:80:9E;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;3;0;2;0;0;2;;;Tue Mar 19 18:39:48 2019;Tue Mar 19 18:40:37 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;FreeWifi_secure;F4:CA:E5:F5:96:16;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;14;0;0;0;0;0;;;Tue Mar 19 18:39:48 2019;Tue Mar 19 18:40:49 2019;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;FreeWifi;14:0C:76:ED:B4:45;;3;No;OPN,None;No;54.0;0;5;0;0;0;0;0;;;Tue Mar 19 18:39:47 2019;Tue Mar 19 18:40:42 2019;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Freebox-4436D0;F4:CA:E5:F5:96:14;;1;No;WPA2,AES-CCM;No;54.0;0;16;0;1;0;0;1;;;Tue Mar 19 18:39:44 2019;Tue Mar 19 18:40:50 2019;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;rst2015;14:0C:76:ED:B4:44;;3;No;WPA,AES-CCM,TKIP;No;54.0;0;4;0;2;0;0;2;;;Tue Mar 19 18:39:48 2019;Tue Mar 19 18:40:44 2019;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;NadeSfr;E4:5D:51:13:55:D6;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;44;0;13;0;0;13;;;Tue Mar 19 18:39:43 2019;Tue Mar 19 18:40:50 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;FreeWifi;F4:CA:E5:F5:96:15;;1;No;OPN,None;No;54.0;0;17;0;0;0;0;0;;;Tue Mar 19 18:39:52 2019;Tue Mar 19 18:40:48 2019;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Labo_Reseau;40:18:B1:97:6B:55;;1;No;WPA2,AES-CCM;No;54.0;0;17;0;0;0;0;0;;;Tue Mar 19 18:39:43 2019;Tue Mar 19 18:40:50 2019;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;freebox_SENIORJM;68:A3:78:10:E1:F5;;1;No;WPA,AES-CCM,TKIP;No;54.0;0;170;0;0;0;0;0;;;Tue Mar 19 18:39:44 2019;Tue Mar 19 18:40:50 2019;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;FreeWifi_secure;14:0C:76:ED:B4:46;;3;No;WPA2,AES-CCM,TKIP;No;54.0;0;4;0;0;0;0;0;;;Tue Mar 19 18:39:48 2019;Tue Mar 19 18:40:48 2019;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Labo_Reseau;40:18:B1:97:6C:D5;;1;No;WPA2,AES-CCM;No;54.0;0;52;0;0;0;0;0;;;Tue Mar 19 18:39:44 2019;Tue Mar 19 18:40:50 2019;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;FreeWifi;68:A3:78:10:E1:F6;;1;No;OPN,None;No;54.0;0;186;0;0;0;0;0;;;Tue Mar 19 18:39:43 2019;Tue Mar 19 18:40:50 2019;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;ESME-Sudria;40:18:B1:97:6B:56;;1;No;WPA2,AES-CCM;No;54.0;0;18;0;0;0;0;0;;;Tue Mar 19 18:39:43 2019;Tue Mar 19 18:40:50 2019;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;ESME-Sudria;40:18:B1:97:6C:D6;;1;No;WPA2,AES-CCM;No;54.0;0;58;0;0;0;0;0;;;Tue Mar 19 18:39:44 2019;Tue Mar 19 18:40:50 2019;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;ESL;40:18:B1:97:6C:D8;;1;No;WPA2,AES-CCM;No;54.0;0;23;0;0;0;0;0;;;Tue Mar 19 18:39:44 2019;Tue Mar 19 18:40:50 2019;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
