Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
18;infrastructure;ESME-Sudria Visiteurs;40:18:B1:97:6C:D9;;1;No;WPA2,AES-CCM;No;54.0;0;12;0;0;0;0;0;;;Tue Mar 19 18:39:45 2019;Tue Mar 19 18:40:49 2019;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;FreeWifi_secure;68:A3:78:10:E1:F7;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;185;0;0;0;0;0;;;Tue Mar 19 18:39:43 2019;Tue Mar 19 18:40:50 2019;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;ESME-Sudria Invites;40:18:B1:97:6B:57;;1;No;WPA2,AES-CCM;No;54.0;0;24;0;0;0;0;0;;;Tue Mar 19 18:39:44 2019;Tue Mar 19 18:40:50 2019;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;ESL;40:18:B1:97:6B:58;;1;No;WPA2,AES-CCM;No;54.0;0;16;0;0;0;0;0;;;Tue Mar 19 18:39:43 2019;Tue Mar 19 18:40:50 2019;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;FreeWifi_secure;DA:6E:D6:71:B5:6A;;2;No;WPA,AES-CCM;No;54.0;0;23;0;0;0;0;0;;;Tue Mar 19 18:39:43 2019;Tue Mar 19 18:40:50 2019;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;ESME-Sudria Visiteurs;40:18:B1:97:6B:59;;1;No;WPA2,AES-CCM;No;54.0;0;20;0;0;0;0;0;;;Tue Mar 19 18:39:44 2019;Tue Mar 19 18:40:50 2019;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;ESME-Sudria Invites;40:18:B1:97:6C:D7;;1;No;WPA2,AES-CCM;No;54.0;0;53;0;0;0;0;0;;;Tue Mar 19 18:39:45 2019;Tue Mar 19 18:40:50 2019;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;FREEBOX_MEHDI_AU;DA:6E:D6:71:B5:68;;2;No;WPA,TKIP;No;54.0;0;33;0;3;0;0;3;;;Tue Mar 19 18:39:43 2019;Tue Mar 19 18:40:50 2019;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;FreeWifi;DA:6E:D6:71:B5:69;;2;No;OPN,None;No;54.0;0;28;0;0;0;0;0;;;Tue Mar 19 18:39:43 2019;Tue Mar 19 18:40:50 2019;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;iPhone d'Anais;6E:8D:C1:49:B8:14;;1;No;WPA2,AES-CCM;No;54.0;0;476;0;0;0;0;0;;;Tue Mar 19 18:39:43 2019;Tue Mar 19 18:40:50 2019;-41;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;iPhone de Bryan;B2:19:C6:BF:6C:FD;;1;No;WPA2,AES-CCM;No;54.0;0;454;0;2;0;0;2;;;Tue Mar 19 18:39:43 2019;Tue Mar 19 18:40:50 2019;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
