Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;FreeWifi_secure;68:A3:78:10:E1:F7;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;13;0;0;0;0;0;;;Tue Mar 19 17:01:51 2019;Tue Mar 19 17:05:38 2019;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;Labo_Reseau;40:18:B1:97:6C:D5;;1;No;WPA2,AES-CCM;No;54.0;0;14;0;0;0;0;0;;;Tue Mar 19 17:01:29 2019;Tue Mar 19 17:05:23 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;ESME-Sudria Visiteurs;40:18:B1:97:6C:D9;;1;No;WPA2,AES-CCM;No;54.0;0;12;0;0;0;0;0;;;Tue Mar 19 17:00:02 2019;Tue Mar 19 17:05:20 2019;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;OnePlus 6;64:A2:F9:60:65:6A;;1;No;WPA2,AES-CCM;No;54.0;0;12;0;88;0;0;88;;;Tue Mar 19 16:59:57 2019;Tue Mar 19 17:05:39 2019;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;ESME-Sudria;40:18:B1:97:6C:D6;;1;No;WPA2,AES-CCM;No;54.0;0;9;0;4;0;0;4;;;Tue Mar 19 16:59:52 2019;Tue Mar 19 17:05:41 2019;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;ESME-Sudria Invites;40:18:B1:97:6C:D7;;1;No;WPA2,AES-CCM;No;54.0;0;19;0;0;0;0;0;;;Tue Mar 19 16:59:55 2019;Tue Mar 19 17:05:40 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;ESL;40:18:B1:97:6C:D8;;1;No;WPA2,AES-CCM;No;54.0;0;10;0;0;0;0;0;;;Tue Mar 19 17:01:10 2019;Tue Mar 19 17:05:22 2019;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;ESME-Sudria Invites;40:18:B1:97:6B:57;;1;No;WPA2,AES-CCM;No;54.0;0;82;0;0;0;0;0;;;Tue Mar 19 16:59:48 2019;Tue Mar 19 17:05:42 2019;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;ESL;40:18:B1:97:6B:58;;1;No;WPA2,AES-CCM;No;54.0;0;92;0;0;0;0;0;;;Tue Mar 19 16:59:45 2019;Tue Mar 19 17:05:40 2019;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;Copacabana;50:C8:E5:81:4A:3A;;1;No;WPA2,AES-CCM;No;54.0;0;121;0;0;0;0;0;;;Tue Mar 19 17:00:02 2019;Tue Mar 19 17:05:39 2019;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;ESME-Sudria;40:18:B1:97:6B:56;;1;No;WPA2,AES-CCM;No;54.0;0;92;0;173;0;0;173;;;Tue Mar 19 16:59:45 2019;Tue Mar 19 17:05:42 2019;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;Labo_Reseau;40:18:B1:97:6B:55;;1;No;WPA2,AES-CCM;No;54.0;0;87;0;0;0;0;0;;;Tue Mar 19 16:59:50 2019;Tue Mar 19 17:05:42 2019;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;AndroidAP;3C:DF:BD:90:59:1D;;1;No;WPA,AES-CCM,TKIP;No;54.0;0;724;0;75;0;0;75;;;Tue Mar 19 16:59:45 2019;Tue Mar 19 17:05:42 2019;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;WIN-H23C7AVLG9K 6081;DE:53:60:F5:B9:1E;;1;No;WPA2,AES-CCM;No;54.0;0;550;0;463;0;0;463;;;Tue Mar 19 16:59:45 2019;Tue Mar 19 17:05:41 2019;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;Nicolas S;B2:70:2D:BB:94:EF;;1;No;WPA2,AES-CCM;No;54.0;0;198;0;55;0;0;55;;;Tue Mar 19 16:59:45 2019;Tue Mar 19 17:05:41 2019;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;retry;D0:C5:D3:71:8D:E1;;36;No;WPA2,AES-CCM;No;54.0;0;16;0;0;0;0;0;;;Tue Mar 19 17:00:03 2019;Tue Mar 19 17:05:23 2019;-36;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;iPhone de Bryan;B2:19:C6:BF:6C:FD;;1;No;WPA2,AES-CCM;No;54.0;0;2454;0;42;0;0;42;;;Tue Mar 19 16:59:45 2019;Tue Mar 19 17:05:42 2019;-18;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;;40:18:B1:CC:17:17;;1;No;WPA,None;No;-1.0;0;0;0;898;0;0;898;;;Tue Mar 19 16:59:53 2019;Tue Mar 19 17:05:41 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
