0C:E7:98:18:1A:E6
15:AB:36:B6:06:15
51:46:66:3F:D2:66
5F:36:53:FE:86:FD
62:62:24:F5:5D:72
66:0F:CA:CD:F2:ED
68:75:C3:B6:AD:F3
72:F5:96:9F:8A:CF
74:04:0C:E3:A0:6C
79:6F:86:B7:BF:90
C8:69:CD:4F:CE:3D
FC:01:7C:63:A4:06
